datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-08 11:00:00,sh.600000,9.96,9.97,9.96,9.96,110073,1096570.0,3
2019-01-08 11:05:00,sh.600000,9.96,9.97,9.95,9.95,316684,3154587.0,3
2019-01-08 11:10:00,sh.600000,9.96,9.97,9.95,9.95,155334,1546369.0,3
2019-01-08 11:15:00,sh.600000,9.95,9.97,9.95,9.95,156399,1556885.0,3
2019-01-08 11:20:00,sh.600000,9.95,9.97,9.95,9.96,99891,994372.0,3
2019-01-08 11:25:00,sh.600000,9.96,9.97,9.95,9.95,157315,1566202.0,3
2019-01-08 11:30:00,sh.600000,9.96,9.98,9.95,9.96,141515,1409292.0,3
2019-01-08 13:05:00,sh.600000,9.98,9.98,9.96,9.96,208752,2081750.0,3
2019-01-08 13:10:00,sh.600000,9.96,9.99,9.96,9.97,157741,1573530.0,3
2019-01-08 13:15:00,sh.600000,9.97,10.0,9.96,9.99,393802,3934436.0,3
2019-01-08 13:20:00,sh.600000,9.99,10.0,9.97,9.98,250846,2502940.0,3
2019-01-08 13:25:00,sh.600000,9.98,9.99,9.97,9.99,155895,1555604.0,3
2019-01-08 13:30:00,sh.600000,9.99,9.99,9.97,9.98,106695,1064783.0,3
2019-01-08 13:35:00,sh.600000,9.98,9.99,9.96,9.97,259791,2592343.0,3
2019-01-08 13:40:00,sh.600000,9.96,9.98,9.96,9.97,385090,3837643.0,3
2019-01-08 13:45:00,sh.600000,9.97,9.97,9.95,9.95,248377,2472407.0,3
2019-01-08 13:50:00,sh.600000,9.95,9.97,9.94,9.94,136550,1358690.0,3
2019-01-08 13:55:00,sh.600000,9.94,9.97,9.94,9.96,202494,2015893.0,3
2019-01-08 14:00:00,sh.600000,9.96,9.97,9.94,9.95,114639,1141035.0,3
2019-01-08 14:05:00,sh.600000,9.95,9.97,9.95,9.95,98829,984263.0,3
2019-01-08 14:10:00,sh.600000,9.97,9.97,9.94,9.96,558405,5555838.0,3
2019-01-08 14:15:00,sh.600000,9.96,9.97,9.95,9.95,257348,2562821.0,3
2019-01-08 14:20:00,sh.600000,9.95,9.98,9.95,9.98,461476,4601046.0,3
2019-01-08 14:25:00,sh.600000,9.97,9.98,9.96,9.96,391100,3901230.0,3
2019-01-08 14:30:00,sh.600000,9.96,9.98,9.96,9.97,229966,2293185.0,3
2019-01-08 14:35:00,sh.600000,9.97,9.99,9.97,9.98,250779,2501293.0,3
2019-01-08 14:40:00,sh.600000,9.98,9.98,9.95,9.95,251031,2501529.0,3
2019-01-08 14:45:00,sh.600000,9.96,9.96,9.93,9.94,839679,8349234.0,3
2019-01-08 14:50:00,sh.600000,9.94,9.96,9.94,9.94,482450,4798373.0,3
2019-01-08 14:55:00,sh.600000,9.94,9.95,9.93,9.94,334900,3329745.0,3
2019-01-08 15:00:00,sh.600000,9.95,9.96,9.94,9.96,343517,3420747.0,3
2019-01-09 09:35:00,sh.600000,10.06,10.07,10.01,10.05,2203058,22139300.0,3
2019-01-09 09:40:00,sh.600000,10.06,10.11,10.06,10.08,1454306,14664778.0,3
2019-01-09 09:45:00,sh.600000,10.07,10.09,10.05,10.09,861233,8676898.0,3
2019-01-09 09:50:00,sh.600000,10.08,10.16,10.08,10.12,2528115,25601212.0,3
2019-01-09 09:55:00,sh.600000,10.12,10.16,10.12,10.14,945180,9590911.0,3
2019-01-09 10:00:00,sh.600000,10.14,10.16,10.13,10.15,1088300,11043866.0,3
2019-01-09 10:05:00,sh.600000,10.15,10.16,10.13,10.14,562000,5703690.0,3
2019-01-09 10:10:00,sh.600000,10.14,10.15,10.12,10.13,361400,3661758.0,3
2019-01-09 10:15:00,sh.600000,10.12,10.14,10.11,10.12,334800,3390935.0,3
2019-01-09 10:20:00,sh.600000,10.12,10.14,10.11,10.12,312000,3158669.0,3
2019-01-09 10:25:00,sh.600000,10.12,10.14,10.1,10.13,656629,6643395.0,3
2019-01-09 10:30:00,sh.600000,10.13,10.14,10.12,10.13,629100,6374125.0,3
2019-01-09 10:35:00,sh.600000,10.13,10.14,10.13,10.13,357200,3619908.0,3
2019-01-09 10:40:00,sh.600000,10.13,10.15,10.13,10.14,574718,5830515.0,3
2019-01-09 10:45:00,sh.600000,10.15,10.16,10.13,10.14,726333,7373785.0,3
2019-01-09 10:50:00,sh.600000,10.14,10.15,10.13,10.14,189343,1919882.0,3
2019-01-09 10:55:00,sh.600000,10.14,10.16,10.14,10.15,374450,3800674.0,3
2019-01-09 11:00:00,sh.600000,10.16,10.16,10.12,10.12,413957,4194235.0,3
2019-01-09 11:05:00,sh.600000,10.12,10.14,10.11,10.12,274743,2780966.0,3
2019-01-09 11:10:00,sh.600000,10.12,10.13,10.11,10.12,409700,4145427.0,3
2019-01-09 11:15:00,sh.600000,10.12,10.14,10.11,10.12,177900,1800090.0,3
2019-01-09 11:20:00,sh.600000,10.12,10.14,10.11,10.14,107200,1085970.0,3
2019-01-09 11:25:00,sh.600000,10.13,10.13,10.11,10.12,44800,453470.0,3
2019-01-09 11:30:00,sh.600000,10.12,10.13,10.1,10.11,120700,1220782.0,3
2019-01-09 13:05:00,sh.600000,10.11,10.11,10.09,10.1,370271,3739056.0,3
2019-01-09 13:10:00,sh.600000,10.1,10.11,10.09,10.1,140000,1414126.0,3
2019-01-09 13:15:00,sh.600000,10.1,10.11,10.09,10.1,189300,1912145.0,3
2019-01-09 13:20:00,sh.600000,10.1,10.12,10.1,10.11,165658,1674559.0,3
2019-01-09 13:25:00,sh.600000,10.11,10.12,10.1,10.12,231730,2343092.0,3
2019-01-09 13:30:00,sh.600000,10.12,10.14,10.11,10.12,199000,2015426.0,3
2019-01-09 13:35:00,sh.600000,10.12,10.12,10.1,10.1,140300,1418156.0,3
2019-01-09 13:40:00,sh.600000,10.1,10.12,10.09,10.1,379000,3829311.0,3
2019-01-09 13:45:00,sh.600000,10.1,10.11,10.1,10.1,217280,2195027.0,3
2019-01-09 13:50:00,sh.600000,10.1,10.11,10.09,10.1,414663,4187151.0,3
2019-01-09 13:55:00,sh.600000,10.1,10.1,10.08,10.09,247457,2496245.0,3
